"Var1","Freq"
"the",21921
"to",12176
"and",11307
"a",10653
"of",9463
"in",7474
"i",6852
"that",4724
"for",4568
"is",4519
"it",4274
"on",3529
"you",3471
"with",3164
"was",3083
"at",2396
"as",2352
"this",2324
"have",2316
"be",2278
"my",2270
"he",2188
"but",2168
"are",2100
"we",2022
"not",1823
"from",1802
"they",1597
"so",1538
"said",1497
"his",1489
"or",1473
"by",1445
"all",1435
"will",1378
"an",1376
"one",1362
"me",1340
"about",1283
"has",1247
"its",1243
"if",1225
"up",1216
"who",1207
"out",1204
"what",1195
"just",1174
"when",1142
"can",1115
"your",1110
"had",1109
"more",1093
"her",1039
"do",1017
"were",1008
"there",1005
"their",985
"like",979
"she",964
"time",950
"no",900
"some",897
"would",884
"been",869
"our",869
"get",855
"new",746
"them",742
"how",722
"which",713
"people",712
"t",710
"now",698
"than",648
"other",646
"know",645
"into",631
"us",629
"also",622
"first",620
"day",617
"im",612
"good",598
"because",581
"after",578
"over",574
"two",571
"could",562
"last",560
"back",553
"only",549
"go",544
"love",541
"then",538
"him",528
"well",525
"going",523
"make",523
"even",516
"really",516
"see",510
"think",504
"year",501
"years",478
"much",474
"am",472
"dont",458
"here",458
"great",454
"did",452
"still",451
"those",436
"way",432
"any",427
"before",425
"where",424
"got",421
"too",417
"work",417
"most",412
"very",407
"many",404
"want",402
"these",398
"being",397
"off",393
"right",389
"may",385
"down",384
"today",382
"life",381
"need",376
"little",368
"through",367
"made",364
"take",363
"never",355
"things",355
"say",350
"while",348
"home",343
"should",332
"around",326
"best",325
"something",323
"state",322
"why",320
"week",319
"come",302
"school",301
"three",299
"such",292
"another",287
"every",286
"next",283
"night",280
"few",274
"world",274
"long",269
"look",268
"again",266
"show",263
"better",259
"house",257
"own",257
"until",255
"game",254
"each",253
"part",250
"always",248
"city",248
"thing",248
"big",247
"both",247
"man",246
"place",246
"family",244
"help",242
"lot",239
"since",235
"cant",233
"thats",232
"use",232
"book",231
"feel",230
"during",229
"find",229
"happy",226
"percent",226
"thanks",223
"same",222
"went",220
"though",219
"days",218
"give",216
"might",216
"don",214
"found",214
"let",214
"m",213
"sure",213
"against",211
"does",211
"season",211
"away",210
"doing",210
"says",208
"team",208
"million",206
"put",206
"end",204
"st",204
"didnt",202
"times",201
"high",200
"read",200
"hope",199
"money",199
"start",199
"used",198
"without",197
"between",196
"children",196
"point",194
"four",192
"ever",191
"once",190
"ive",189
"everything",187
"having",187
"police",186
"left",185
"old",185
"thought",185
"done",184
"making",184
"looking",183
"pm",183
"getting",181
"rt",181
"called",180
"someone",180
"different",177
"call",176
"keep",175
"play",175
"told",175
"yet",175
"under",174
"county",173
"came",172
"u",172
"everyone",171
"nothing",171
"real",170
"second",170
"public",169
"friends",168
"d",167
"free",167
"top",167
"god",166
"actually",165
"live",165
"took",164
"story",163
"food",162
"small",162
"tell",162
"th",162
"wanted",162
"must",160
"room",160
"morning",159
"bad",158
"enough",157
"pretty",157
"lol",156
"open",156
"bit",155
"far",155
"already",154
"oh",154
"ve",153
"working",153
"youre",153
"believe",151
"able",150
"makes",150
"past",150
"trying",150
"later",149
"least",149
"others",148
"follow",147
"job",147
"together",147
"try",147
"case",146
"fun",146
"minutes",146
"name",146
"hard",145
"set",145
"yes",145
"five",144
"hes",144
"almost",143
"including",143
"music",143
"girl",141
"please",141
"thank",141
"head",140
"blog",139
"run",139
"soon",139
"stop",139
"tonight",139
"anything",138
"business",138
"center",138
"re",138
"started",138
"win",138
"coming",137
"course",137
"side",136
"person",135
"news",134
"white",134
"ago",132
"group",132
"kids",132
"maybe",132
"country",131
"nice",131
"full",130
"however",130
"local",130
"post",130
"wait",130
"along",127
"change",127
"hit",126
"month",126
"months",126
"young",126
"asked",125
"idea",125
"saw",125
"hours",124
"instead",124
"office",124
"water",124
"become",123
"experience",123
"plan",123
"weekend",123
"weeks",123
"company",122
"area",121
"kind",121
"support",121
"talk",121
"care",120
"doesnt",120
"games",120
"often",120
"president",120
"several",120
"students",120
"according",119
"friend",119
"move",119
"party",119
"playing",119
"probably",119
"friday",118
"ill",118
"line",118
"theres",118
"less",117
"whole",117
"add",116
"else",116
"monday",116
"myself",116
"won",116
"american",115
"early",115
"fact",114
"ll",114
"black",113
"community",113
"half",113
"system",113
"close",112
"ready",112
"health",111
"car",110
"comes",110
"lost",110
"mind",110
"thinking",110
"late",109
"power",109
"program",109
"cool",108
"couple",108
"law",108
"order",108
"remember",108
"didn",107
"final",107
"quite",107
"seen",107
"street",107
"women",107
"deal",106
"forward",106
"national",106
"number",106
"saturday",106
"body",105
"former",105
"men",105
"stay",105
"stuff",105
"taking",105
"woman",105
"chance",104
"check",104
"reason",104
"event",103
"future",103
"important",103
"needs",103
"tuesday",103
"anyone",102
"board",102
"eat",102
"face",102
"government",102
"heart",102
"john",102
"mean",102
"university",102
"cut",101
"list",101
"special",101
"whether",101
"books",100
"miss",100
"states",100
"summer",100
"wants",100
"felt",99
"mother",99
"seems",99
"using",99
"write",99
"finally",97
"history",97
"information",97
"living",97
"saying",97
"service",97
"beer",96
"college",96
"death",96
"following",96
"members",96
"pay",96
"reading",96
"road",96
"watch",96
"words",96
"april",95
"class",95
"looked",95
"needed",95
"outside",95
"amazing",94
"bring",94
"decided",94
"guys",94
"played",94
"red",94
"true",94
"wasnt",94
"word",94
"behind",93
"share",93
"beautiful",92
"court",92
"federal",92
"given",92
"known",92
"park",92
"sunday",92
"child",91
"hand",91
"series",91
"taken",91
"within",91
"hear",90
"leave",90
"light",90
"market",90
"problem",90
"question",90
"sweet",90
"watching",90
"among",89
"goes",89
"report",89
"six",89
"theyre",89
"tomorrow",89
"writing",89
"art",88
"either",88
"meeting",88
"rest",88
"short",88
"available",87
"bill",87
"coach",87
"enjoy",87
"moment",87
"movie",87
"parents",87
"pick",87
"rather",87
"running",87
"across",86
"although",86
"building",86
"front",86
"guy",86
"hot",86
"large",86
"matter",86
"means",86
"process",86
"south",86
"takes",86
"talking",86
"third",86
"thursday",86
"hour",85
"spent",85
"turn",85
"baby",84
"hey",84
"awesome",83
"general",83
"heard",83
"sometimes",83
"turned",83
"visit",83
"added",82
"card",82
"clear",82
"guess",82
"loved",82
"plans",82
"points",82
"york",82
"buy",81
"easy",81
"favorite",81
"gets",81
"girls",81
"green",81
"officials",81
"phone",81
"song",81
"tried",81
"fire",80
"gave",80
"ohio",80
"paper",80
"son",80
"twitter",80
"understand",80
"wrong",80
"ball",79
"began",79
"department",79
"per",79
"possible",79
"starting",79
"wine",79
"happened",78
"hate",78
"interesting",78
"lives",78
"perfect",78
"project",78
"schools",78
"example",77
"happen",77
"lead",77
"media",77
"meet",77
"nearly",77
"record",77
"social",77
"store",77
"town",77
"war",77
"west",77
"wont",77
"works",77
"yourself",77
"jobs",76
"lets",76
"major",76
"north",76
"round",76
"strong",76
"wish",76
"ask",75
"boy",75
"decision",75
"district",75
"email",75
"energy",75
"excited",75
"knew",75
"lunch",75
"obama",75
"ones",75
"players",75
"provide",75
"recently",75
"sent",75
"spring",75
"especially",74
"fall",74
"father",74
"feet",74
"giving",74
"issue",74
"near",74
"return",74
"wednesday",74
"worked",74
"yearold",74
"church",73
"eyes",73
"looks",73
"shows",73
"single",73
"whats",73
"brown",72
"feeling",72
"hair",72
"inside",72
"isnt",72
"space",72
"wonderful",72
"written",72
"cause",71
"huge",71
"id",71
"lots",71
"sales",71
"san",71
"action",70
"continue",70
"hell",70
"issues",70
"mom",70
"perhaps",70
"sense",70
"shot",70
"site",70
"step",70
"washington",70
"weve",70
"christmas",69
"definitely",69
"fine",69
"march",69
"medical",69
"member",69
"middle",69
"ok",69
"recent",69
"career",68
"film",68
"include",68
"jersey",68
"sound",68
"themselves",68
"worth",68
"higher",67
"human",67
"learn",67
"mr",67
"oil",67
"video",67
"act",66
"brought",66
"challenge",66
"dead",66
"longer",66
"online",66
"send",66
"yeah",66
"became",65
"current",65
"fans",65
"gone",65
"held",65
"himself",65
"political",65
"seeing",65
"star",65
"super",65
"table",65
"air",64
"b",64
"cannot",64
"drive",64
"husband",64
"loss",64
"picture",64
"piece",64
"seem",64
"simply",64
"stories",64
"teams",64
"bed",63
"begin",63
"daughter",63
"died",63
"finished",63
"haha",63
"moved",63
"player",63
"rock",63
"birthday",62
"despite",62
"education",62
"financial",62
"focus",62
"led",62
"main",62
"page",62
"stand",62
"training",62
"trip",62
"ways",62
"weather",62
"above",61
"age",61
"bar",61
"based",61
"certainly",61
"conference",61
"director",61
"door",61
"entire",61
"field",61
"questions",61
"race",61
"student",61
"whose",61
"band",60
"bank",60
"billion",60
"dinner",60
"doesn",60
"east",60
"form",60
"gonna",60
"grow",60
"involved",60
"likely",60
"offer",60
"opportunity",60
"wife",60
"cost",59
"due",59
"knows",59
"nature",59
"safe",59
"whatever",59
"campaign",58
"cleveland",58
"comment",58
"david",58
"expected",58
"havent",58
"interest",58
"level",58
"louis",58
"mark",58
"pictures",58
"services",58
"sign",58
"walk",58
"amount",57
"beach",57
"california",57
"charge",57
"club",57
"coffee",57
"cover",57
"difficult",57
"eating",57
"economy",57
"force",57
"further",57
"heat",57
"itself",57
"learned",57
"restaurant",57
"review",57
"sports",57
"wrote",57
"america",56
"chicago",56
"companies",56
"council",56
"cream",56
"earlier",56
"eye",56
"helped",56
"increase",56
"june",56
"met",56
"michael",56
"moving",56
"paid",56
"personal",56
"sleep",56
"spend",56
"tv",56
"workers",56
"break",55
"completely",55
"control",55
"cup",55
"dark",55
"events",55
"executive",55
"hold",55
"hotel",55
"industry",55
"james",55
"portland",55
"study",55
"crazy",54
"message",54
"performance",54
"popular",54
"quickly",54
"rose",54
"attention",53
"brother",53
"characters",53
"couldnt",53
"details",53
"dr",53
"fast",53
"fear",53
"figure",53
"healthy",53
"ideas",53
"jesus",53
"nfl",53
"photo",53
"practice",53
"received",53
"shes",53
"sitting",53
"situation",53
"sorry",53
"tough",53
"truth",53
"view",53
"blue",52
"changes",52
"create",52
"customers",52
"facebook",52
"products",52
"runs",52
"shit",52
"sounds",52
"staff",52
"success",52
"trade",52
"wall",52
"wonder",52
"yesterday",52
"ahead",51
"boys",51
"brain",51
"football",51
"hospital",51
"ice",51
"league",51
"listen",51
"lose",51
"manager",51
"n",51
"note",51
"position",51
"radio",51
"role",51
"sex",51
"similar",51
"simple",51
"track",51
"united",51
"w",51
"costs",50
"date",50
"employees",50
"followed",50
"growing",50
"hands",50
"interested",50
"latest",50
"natural",50
"paul",50
"served",50
"tax",50
"usually",50
"welcome",50
"bought",49
"bowl",49
"c",49
"calls",49
"chief",49
"choice",49
"created",49
"defense",49
"foot",49
"grand",49
"ground",49
"july",49
"killed",49
"lovely",49
"official",49
"pain",49
"private",49
"problems",49
"r",49
"statement",49
"straight",49
"sun",49
"travel",49
"anyway",48
"beyond",48
"biggest",48
"certain",48
"common",48
"deep",48
"development",48
"fresh",48
"gas",48
"groups",48
"key",48
"lack",48
"library",48
"planning",48
"present",48
"previous",48
"programs",48
"save",48
"type",48
"voice",48
"winter",48
"wouldnt",48
"youll",48
"afternoon",47
"clean",47
"closed",47
"credit",47
"extra",47
"floor",47
"forget",47
"gold",47
"join",47
"listening",47
"mention",47
"o",47
"opened",47
"price",47
"quality",47
"released",47
"reported",47
"research",47
"security",47
"seemed",47
"sister",47
"tour",47
"upon",47
"waiting",47
"account",46
"advice",46
"album",46
"build",46
"contact",46
"dog",46
"dream",46
"eventually",46
"garden",46
"goals",46
"kid",46
"onto",46
"opening",46
"reality",46
"relationship",46
"river",46
"safety",46
"scene",46
"senior",46
"seven",46
"source",46
"style",46
"teachers",46
"toward",46
"tweet",46
"announced",45
"award",45
"beginning",45
"blood",45
"consider",45
"crowd",45
"design",45
"downtown",45
"english",45
"funny",45
"immediately",45
"items",45
"kept",45
"marriage",45
"miles",45
"mine",45
"mix",45
"okay",45
"oregon",45
"projects",45
"rate",45
"sat",45
"sell",45
"snow",45
"songs",45
"sort",45
"soul",45
"spending",45
"spot",45
"thoughts",45
"throughout",45
"title",45
"value",45
"weight",45
"winning",45
"agree",44
"allow",44
"allowed",44
"attorney",44
"box",44
"cheese",44
"de",44
"drink",44
"exactly",44
"faith",44
"feels",44
"happens",44
"international",44
"january",44
"king",44
"leaders",44
"letter",44
"lines",44
"match",44
"missing",44
"orange",44
"passed",44
"plus",44
"positive",44
"records",44
"risk",44
"sad",44
"serious",44
"society",44
"text",44
"tickets",44
"filled",43
"holiday",43
"named",43
"picked",43
"plays",43
"required",43
"seriously",43
"texas",43
"trust",43
"union",43
"via",43
"wear",43
"website",43
"williams",43
"audience",42
"beat",42
"benefits",42
"born",42
"built",42
"changed",42
"currently",42
"double",42
"drug",42
"effort",42
"evening",42
"families",42
"gives",42
"includes",42
"isn",42
"language",42
"pass",42
"pieces",42
"press",42
"regular",42
"romney",42
"shop",42
"speak",42
"stage",42
"stopped",42
"sugar",42
"agency",41
"answer",41
"asking",41
"average",41
"chicken",41
"choose",41
"conversation",41
"cute",41
"hall",41
"helps",41
"included",41
"laws",41
"lord",41
"network",41
"novel",41
"officer",41
"policy",41
"production",41
"republican",41
"sauce",41
"telling",41
"terms",41
"thomas",41
"winner",41
"address",40
"alone",40
"anymore",40
"budget",40
"cards",40
"color",40
"complete",40
"doubt",40
"fair",40
"g",40
"goal",40
"growth",40
"internet",40
"joe",40
"learning",40
"leaving",40
"legal",40
"meant",40
"minute",40
"otherwise",40
"overall",40
"photos",40
"physical",40
"product",40
"property",40
"results",40
"rights",40
"shoes",40
"smith",40
"total",40
"tournament",40
"wow",40
"approach",39
"areas",39
"artists",39
"bottom",39
"cases",39
"caught",39
"china",39
"classes",39
"comments",39
"commission",39
"dad",39
"difference",39
"everybody",39
"expect",39
"explain",39
"fight",39
"finish",39
"foundation",39
"french",39
"glad",39
"ha",39
"image",39
"kitchen",39
"lived",39
"low",39
"mountain",39
"movies",39
"officers",39
"original",39
"p",39
"period",39
"proud",39
"respect",39
"subject",39
"vote",39
"wanna",39
"absolutely",38
"addition",38
"appear",38
"artist",38
"association",38
"banks",38
"baseball",38
"busy",38
"committee",38
"dogs",38
"ended",38
"episode",38
"fan",38
"fat",38
"headed",38
"helping",38
"hopefully",38
"hoping",38
"host",38
"individual",38
"leading",38
"mayor",38
"nine",38
"normal",38
"pop",38
"potential",38
"quick",38
"require",38
"ride",38
"serve",38
"shopping",38
"stick",38
"tea",38
"valley",38
"wedding",38
"western",38
"acting",37
"annual",37
"arent",37
"bag",37
"base",37
"benefit",37
"block",37
"character",37
"cold",37
"contract",37
"driving",37
"drop",37
"earth",37
"fourth",37
"interview",37
"k",37
"keeping",37
"land",37
"los",37
"luck",37
"mostly",37
"necessary",37
"particular",37
"parts",37
"planned",37
"prison",37
"range",37
"residents",37
"response",37
"sale",37
"spokesman",37
"square",37
"test",37
"wasn",37
"ya",37
"attack",36
"author",36
"broke",36
"calling",36
"catch",36
"chocolate",36
"chris",36
"democrats",36
"die",36
"dress",36
"etc",36
"except",36
"forced",36
"gift",36
"heres",36
"insurance",36
"judge",36
"mike",36
"owner",36
"possibly",36
"ran",36
"realized",36
"result",36
"score",36
"seasons",36
"stores",36
"teacher",36
"worry",36
"ages",35
"agreed",35
"baking",35
"basic",35
"clearly",35
"coast",35
"collection",35
"compared",35
"complex",35
"designed",35
"fashion",35
"finding",35
"fit",35
"gay",35
"glass",35
"limited",35
"link",35
"lower",35
"managed",35
"missed",35
"modern",35
"offers",35
"places",35
"pulled",35
"putting",35
"reach",35
"realize",35
"region",35
"seconds",35
"skin",35
"supposed",35
"ten",35
"tired",35
"unless",35
"ur",35
"walking",35
"ability",34
"alive",34
"basketball",34
"bay",34
"construction",34
"damage",34
"dropped",34
"economic",34
"edge",34
"eight",34
"emergency",34
"enter",34
"evidence",34
"fuck",34
"gotta",34
"governor",34
"greater",34
"hearing",34
"indeed",34
"nation",34
"offense",34
"oven",34
"particularly",34
"plant",34
"pounds",34
"raised",34
"reasons",34
"seat",34
"setting",34
"sold",34
"totally",34
"train",34
"truly",34
"various",34
"version",34
"warm",34
"worse",34
"buying",33
"count",33
"crime",33
"easily",33
"effect",33
"enjoyed",33
"february",33
"florida",33
"fully",33
"highly",33
"homes",33
"jones",33
"justice",33
"la",33
"loves",33
"older",33
"pie",33
"plants",33
"powerful",33
"prices",33
"primary",33
"release",33
"roll",33
"scored",33
"showed",33
"surprise",33
"technology",33
"tom",33
"touch",33
"walked",33
"watched",33
"window",33
"yard",33
"additional",32
"americans",32
"arizona",32
"arm",32
"arrived",32
"bigger",32
"butter",32
"capital",32
"cash",32
"charged",32
"chinese",32
"creating",32
"culture",32
"dear",32
"europe",32
"fell",32
"francisco",32
"freedom",32
"gotten",32
"heavy",32
"herself",32
"investigation",32
"lake",32
"leaves",32
"marketing",32
"married",32
"mentioned",32
"nights",32
"none",32
"offered",32
"paint",32
"population",32
"posts",32
"rain",32
"rd",32
"remain",32
"remains",32
"remove",32
"reports",32
"revenue",32
"sit",32
"skills",32
"taste",32
"tim",32
"tree",32
"william",32
"writer",32
"x",32
"youve",32
"agent",31
"article",31
"arts",31
"august",31
"avoid",31
"becoming",31
"breakfast",31
"cast",31
"christian",31
"computer",31
"continued",31
"daily",31
"debt",31
"december",31
"dreams",31
"election",31
"excellent",31
"fill",31
"global",31
"guard",31
"hi",31
"island",31
"murder",31
"notes",31
"numbers",31
"october",31
"path",31
"paying",31
"published",31
"pull",31
"quarter",31
"raise",31
"reached",31
"religious",31
"republicans",31
"resources",31
"senate",31
"size",31
"spirit",31
"station",31
"studio",31
"taxes",31
"term",31
"turning",31
"tweets",31
"twice",31
"angeles",30
"appeared",30
"baltimore",30
"below",30
"brand",30
"brian",30
"bridge",30
"cancer",30
"cars",30
"caused",30
"central",30
"civil",30
"competition",30
"corner",30
"data",30
"fantastic",30
"festival",30
"folks",30
"hopes",30
"literally",30
"michigan",30
"mission",30
"model",30
"parties",30
"peace",30
"professional",30
"remaining",30
"scott",30
"sea",30
"search",30
"session",30
"signed",30
"slightly",30
"slow",30
"smile",30
"stars",30
"storm",30
"successful",30
"talked",30
"teach",30
"thinks",30
"todays",30
"trial",30
"turns",30
"unique",30
"yards",30
"accept",29
"arrested",29
"camp",29
"carry",29
"century",29
"christ",29
"cook",29
"covered",29
"creative",29
"dance",29
"decide",29
"fairly",29
"fish",29
"houston",29
"hurt",29
"illinois",29
"improve",29
"injury",29
"johnson",29
"lately",29
"milk",29
"mothers",29
"pan",29
"placed",29
"poor",29
"promise",29
"provided",29
"receive",29
"restaurants",29
"returned",29
"rules",29
"showing",29
"sites",29
"starts",29
"victims",29
"willing",29
"awards",28
"bake",28
"chose",28
"classic",28
"concert",28
"congrats",28
"considered",28
"dc",28
"direction",28
"dish",28
"doctor",28
"driver",28
"dry",28
"easier",28
"european",28
"flowers",28
"foreign",28
"fund",28
"george",28
"heading",28
"hits",28
"honor",28
"housing",28
"jack",28
"joined",28
"management",28
"mary",28
"master",28
"matt",28
"measure",28
"november",28
"offering",28
"options",28
"organization",28
"pages",28
"parking",28
"pizza",28
"plenty",28
"prior",28
"quiet",28
"salt",28
"science",28
"specific",28
"speed",28
"standing",28
"stock",28
"stuck",28
"talks",28
"thousands",28
"thus",28
"tiny",28
"tony",28
"traffic",28
"trouble",28
"victim",28
"voters",28
"activities",27
"adding",27
"adult",27
"apple",27
"ass",27
"balance",27
"british",27
"bus",27
"camera",27
"charges",27
"claim",27
"comfortable",27
"congress",27
"cuts",27
"decisions",27
"direct",27
"earned",27
"efforts",27
"environment",27
"evil",27
"familiar",27
"feelings",27
"followers",27
"grew",27
"h",27
"happening",27
"hasnt",27
"hill",27
"horse",27
"joy",27
"lady",27
"lucky",27
"meaning",27
"musical",27
"nations",27
"necessarily",27
"neighborhood",27
"neither",27
"opinion",27
"pants",27
"partner",27
"patients",27
"prepared",27
"pressure",27
"purpose",27
"recipe",27
"rich",27
"robert",27
"route",27
"scheduled",27
"seeking",27
"shall",27
"speaking",27
"stadium",27
"studying",27
"task",27
"tells",27
"throw",27
"till",27
"treat",27
"uk",27
"unfortunately",27
"victory",27
"wearing",27
"whom",27
"wild",27
