"words","out","Freq"
"of","the",2029
"in","the",1925
"to","the",1001
"on","the",898
"for","the",839
"to","be",679
"at","the",630
"and","the",619
"in","a",536
"it","was",486
"with","the",483
"is","a",448
"from","the",427
"for","a",406
"it","is",389
"with","a",385
"of","a",376
"i","have",370
"one","of",367
"i","was",355
"and","i",352
"as","a",349
"if","you",344
"will","be",326
"that","the",318
"going","to",317
"i","am",312
"have","a",295
"is","the",293
"was","a",293
"and","a",289
"to","get",288
"that","i",287
"the","first",283
"by","the",281
"to","do",280
"this","is",257
"to","a",254
"want","to",250
"have","to",247
"i","think",241
"out","of",241
"but","i",236
"he","was",233
"have","been",232
"has","been",227
"all","the",226
"you","can",226
"more","than",225
"on","a",219
"a","lot",217
"a","few",211
"of","my",208
"to","make",207
"i","can",206
"to","see",204
"he","said",200
"don","t",197
"about","the",195
"be","a",191
"the","same",191
"they","are",190
"as","the",189
"need","to",189
"would","be",186
"a","little",184
"to","have",177
"had","a",175
"over","the",175
"you","have",175
"when","i",174
"i","had",171
"the","best",171
"i","m",170
"in","my",168
"into","the",167
"there","is",166
"we","are",166
"is","not",164
"as","well",163
"part","of",163
"you","are",163
"to","go",161
"i","love",160
"we","have",160
"that","is",158
"lot","of",157
"there","are",157
"a","great",156
"i","dont",153
"a","good",152
"was","the",152
"of","his",150
"able","to",149
"i","know",147
"a","new",144
"the","most",144
"so","i",143
"the","last",143
"and","then",142
"the","other",141
"the","world",141
"back","to",138
"some","of",138
"and","it",137
"i","would",136
"trying","to",134
"do","you",131
"i","will",130
"is","that",130
"the","new",130
"but","the",129
"the","time",129
"all","of",128
"the","way",127
"at","least",125
"i","just",124
"at","a",123
"said","the",122
"can","be",121
"like","a",121
"up","to",121
"thank","you",120
"according","to",118
"in","his",117
"in","this",117
"they","were",117
"that","you",115
"but","it",114
"said","he",114
"if","i",112
"to","take",112
"as","i",111
"that","he",111
"there","was",111
"time","to",110
"during","the",109
"had","to",108
"of","this",108
"she","was",108
"didn","t",107
"to","me",107
"when","the",107
"of","their",105
"what","i",105
"a","bit",104
"the","state",104
"through","the",104
"i","could",103
"into","a",103
"wanted","to",103
"that","it",102
"the","only",102
"to","say",102
"when","you",102
"and","that",101
"go","to",101
"of","them",101
"kind","of",100
"after","the",99
"how","to",99
"of","our",99
"and","we",98
"for","me",98
"from","a",98
"i","want",98
"a","year",97
"did","not",97
"he","is",97
"that","was",97
"right","now",96
"thanks","for",96
"the","day",96
"you","know",95
"by","a",94
"has","a",94
"of","her",94
"on","my",94
"would","have",94
"that","we",93
"the","end",93
"way","to",93
"and","he",92
"it","a",92
"so","much",92
"me","to",91
"of","it",91
"are","not",90
"i","ve",90
"most","of",90
"the","city",90
